,Timestamp,Email address,Google_Score,Name,IITP webmail,Phone (10 digit only),Roll Number,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,Score_after_negative_marking,Status_Answer
10,07-08-2021 12:20,gil_carter2776@gompie.com,72.0/112,Gil Carter,gil_carter3805@iitp.ac.in,9321640810,1401CS68,Option D,Option D,Option B,Option C,Option B,Option B,Option A,,,Option A,Option C,Option A,Option D,Option D,Option B,Option C,Option C,Option D,Option B,,Option A,Option A,Option B,Option D,Option A,Option C,Option C,Option D,58.0 / 112,"(18.0 , 7.0 , 3)"
11,07-08-2021 12:20,daphne_speed306@vetan.org,104.0/112,Daphne Speed,daphne_speed3415@iitp.ac.in,9783460636,1401CE61,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option B,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option A,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,100.0 / 112,"(26.0 , 2.0 , 0)"
12,07-08-2021 12:20,caydence_camden1581@naiker.biz,16.0/112,Caydence Camden,caydence_camden8370@iitp.ac.in,9569921982,1401ME80,,,,,,,,,,,,,Option D,,Option B,,,,,,,,,Option D,,Option A,,,16.0 / 112,"(4.0 , 0.0 , 24)"
13,07-08-2021 12:20,elijah_sloan9903@famism.biz,36.0/112,Elijah Sloan,elijah_sloan1477@iitp.ac.in,9369060898,1401ME83,,Option D,,,Option D,,Option D,Option D,,,Option C,Option B,Option B,,,Option B,Option C,Option D,Option C,Option D,,Option B,,Option D,Option A,Option C,,Option D,20.0 / 112,"(9.0 , 8.0 , 11)"
14,07-08-2021 12:20,madison_parsons1820@twipet.com,48.0/112,Madison Parsons,madison_parsons5146@iitp.ac.in,7903619453,1401ME52,Option C,Option B,Option B,Option B,Option B,Option B,Option A,Option D,Option B,Option B,Option C,Option D,Option B,Option D,Option B,Option B,Option D,Option A,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option A,Option D,16.0 / 112,"(12.0 , 16.0 , 0)"
15,07-08-2021 12:20,gil_savage9073@bungar.biz,80.0/112,Gil Savage,gil_savage2177@iitp.ac.in,9809925873,1401EE58,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option B,Option D,Option D,Option D,,Option B,Option D,Option C,Option D,,Option D,,Option A,Option A,Option D,Option D,Option A,,Option D,74.0 / 112,"(20.0 , 3.0 , 5)"
16,07-08-2021 12:20,vicky_stubbs4593@typill.biz,20.0/112,Vicky Stubbs,vicky_stubbs5534@iitp.ac.in,8235880406,1401EE56,Option D,,,Option C,,,Option C,Option B,,,Option D,Option A,,,,,,Option D,,Option B,,Option B,Option A,Option D,,,,,8.0 / 112,"(5.0 , 6.0 , 17)"
17,07-08-2021 12:20,gemma_murray759@jiman.org,84.0/112,Gemma Murray,gemma_murray2055@iitp.ac.in,7497080070,1401ME07,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,Option A,Option C,Option A,Option B,Option D,Option B,Option D,Option C,,,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,,82.0 / 112,"(21.0 , 1.0 , 6)"
18,07-08-2021 12:20,mark_cann5224@liret.org,76.0/112,Mark Cann,mark_cann3732@iitp.ac.in,7828975562,1401CS63,,,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option B,,,Option D,Option C,Option D,,,Option A,Option A,Option A,Option D,Option D,Option A,Option A,,72.0 / 112,"(19.0 , 2.0 , 7)"
19,07-08-2021 12:20,sage_harvey3237@hourpy.biz,88.0/112,Sage Harvey,sage_harvey4650@iitp.ac.in,9935432597,1401ME42,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,,Option C,Option C,Option D,Option B,Option B,Option D,Option A,Option A,Option D,Option A,Option A,Option A,Option D,78.0 / 112,"(22.0 , 5.0 , 1)"
20,07-08-2021 12:20,barney_reynolds8711@vetan.org,64.0/112,Barney Reynolds,barney_reynolds9394@iitp.ac.in,7011906773,1401ME71,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,,Option A,Option A,,,,Option C,Option C,Option D,,Option D,Option A,Option B,Option A,Option D,Option B,Option A,Option A,Option D,54.0 / 112,"(16.0 , 5.0 , 7)"
21,07-08-2021 12:20,leslie_leigh2496@mafthy.com,108.0/112,Leslie Leigh,leslie_leigh4954@iitp.ac.in,6386744796,1401CB51,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option D,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,106.0 / 112,"(27.0 , 1.0 , 0)"
22,07-08-2021 12:20,roger_barrett275@bretoux.com,52.0/112,Roger Barrett,roger_barrett9587@iitp.ac.in,8447298144,1401EE15,Option A,,,Option C,,,Option D,,,Option A,Option B,Option D,,,,,Option D,Option D,Option C,,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,44.0 / 112,"(13.0 , 4.0 , 11)"
23,07-08-2021 12:20,kaylee_ranks6910@qater.org,108.0/112,Kaylee Ranks,kaylee_ranks3489@iitp.ac.in,8382819704,1401CS66,Option A,Option D,Option B,Option C,Option A,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,106.0 / 112,"(27.0 , 1.0 , 0)"
24,07-08-2021 12:20,barney_vass9807@deons.tech,112.0/112,Barney Vass,barney_vass75@iitp.ac.in,7016101839,1401CS44,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,112.0 / 112,"(28.0 , 0.0 , 0)"
25,07-08-2021 12:20,david_goldsmith6463@jiman.org,100.0/112,David Goldsmith,david_goldsmith6231@iitp.ac.in,7719416361,1401CS14,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option B,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,Option C,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,96.0 / 112,"(25.0 , 2.0 , 1)"
26,07-08-2021 12:20,joseph_adams6387@zorer.org,64.0/112,Joseph Adams,joseph_adams5568@iitp.ac.in,9284978953,1401EE27,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,,,Option A,,,,,Option C,Option D,,Option D,,,Option A,Option D,Option D,Option C,Option C,Option D,62.0 / 112,"(16.0 , 1.0 , 11)"
27,07-08-2021 12:20,dakota_lewis5177@cispeto.com,56.0/112,Dakota Lewis,dakota_lewis3583@iitp.ac.in,9182589196,1401EE36,Option A,Option B,,,,,Option D,,Option A,,Option D,Option A,Option D,Option D,Option B,Option D,Option D,Option D,Option A,Option D,,,Option A,Option D,,Option A,Option C,Option B,46.0 / 112,"(14.0 , 5.0 , 9)"
28,07-08-2021 12:20,violet_crawford7748@mafthy.com,112.0/112,Violet Crawford,violet_crawford9473@iitp.ac.in,7380481132,1401CS78,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,112.0 / 112,"(28.0 , 0.0 , 0)"
29,07-08-2021 12:20,molly_vinton5056@corti.com,56.0/112,Molly Vinton,molly_vinton9714@iitp.ac.in,9129672511,1401CE47,,,Option B,Option C,,Option C,Option D,Option D,,,,,Option D,,Option B,,Option C,Option D,,,Option A,,Option A,Option D,Option D,Option A,Option B,,54.0 / 112,"(14.0 , 1.0 , 13)"
30,07-08-2021 12:20,noah_knott432@ubusive.com,60.0/112,Noah Knott,noah_knott6570@iitp.ac.in,6309828611,1401CE29,Option D,,Option B,Option A,,Option C,Option D,Option D,,Option A,Option D,,Option B,Option B,,Option C,Option C,Option D,Option C,Option D,Option A,Option B,Option A,Option D,Option D,Option A,Option C,Option D,44.0 / 112,"(15.0 , 8.0 , 5)"
31,07-08-2021 12:20,percy_verdon9666@naiker.biz,84.0/112,Percy Verdon,percy_verdon8106@iitp.ac.in,8429697765,1401ME11,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,Option A,Option D,Option A,Option B,Option D,Option B,Option D,Option C,Option D,,Option B,,Option A,Option A,Option D,Option D,Option A,Option C,Option D,78.0 / 112,"(21.0 , 3.0 , 4)"
32,07-08-2021 12:20,alexander_partridge5822@muall.tech,88.0/112,Alexander Partridge,alexander_partridge2616@iitp.ac.in,9829324136,1401ME45,Option A,Option D,Option B,Option C,,Option C,Option D,,,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option D,Option A,Option A,Option D,Option D,Option A,Option C,Option B,84.0 / 112,"(22.0 , 2.0 , 4)"
33,07-08-2021 12:20,lynn_jones6752@nickia.com,68.0/112,Lynn Jones,lynn_jones17@iitp.ac.in,8218930662,1401CB02,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,,,Option A,,Option D,Option B,Option D,Option C,Option A,Option B,Option D,,,Option A,Option A,,Option A,Option C,Option B,62.0 / 112,"(17.0 , 3.0 , 8)"
34,07-08-2021 12:20,ronald_owens3897@mafthy.com,100.0/112,Ronald Owens,ronald_owens5086@iitp.ac.in,9947107295,1401CB16,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option A,Option D,Option A,Option D,,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,98.0 / 112,"(25.0 , 1.0 , 2)"
35,07-08-2021 12:20,daniel_reading1705@deavo.com,92.0/112,Daniel Reading,daniel_reading4547@iitp.ac.in,9509614050,1401MM25,Option A,,Option B,Option C,Option B,Option C,Option D,Option D,Option C,Option A,,Option A,Option D,,Option B,Option D,Option C,,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,90.0 / 112,"(23.0 , 1.0 , 4)"
36,07-08-2021 12:20,sage_potts7984@twace.org,84.0/112,Sage Potts,sage_potts8201@iitp.ac.in,8851333173,1401EE67,Option A,Option B,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,,,Option D,,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option C,Option D,Option A,Option B,Option D,78.0 / 112,"(21.0 , 3.0 , 4)"
37,07-08-2021 12:20,harriet_ward8388@deavo.com,84.0/112,Harriet Ward,harriet_ward8123@iitp.ac.in,9161105636,1401CE25,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,,Option D,Option D,Option B,Option D,Option C,Option D,,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,Option B,82.0 / 112,"(21.0 , 1.0 , 6)"
38,07-08-2021 12:20,vera_rycroft6599@muall.tech,36.0/112,Vera Rycroft,vera_rycroft7673@iitp.ac.in,8210365189,1401CB37,,Option C,Option B,Option C,,Option C,Option C,Option C,,Option A,Option C,Option A,Option C,,,,,Option D,Option C,,Option B,,,,,Option A,,Option D,24.0 / 112,"(9.0 , 6.0 , 13)"
39,07-08-2021 12:20,daniel_norton2069@bretoux.com,76.0/112,Daniel Norton,daniel_norton6748@iitp.ac.in,9373558986,1401CS67,Option A,Option D,Option B,Option C,Option B,Option B,,Option D,Option B,,Option C,Option A,Option B,Option D,Option B,Option C,Option C,Option D,Option B,,Option D,Option A,Option A,Option D,Option B,Option A,Option C,Option D,64.0 / 112,"(19.0 , 6.0 , 3)"
40,07-08-2021 12:20,ramon_fulton9477@typill.biz,60.0/112,Ramon Fulton,ramon_fulton1369@iitp.ac.in,7726062970,1401CS74,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,Option B,Option D,Option A,,,Option B,,Option C,Option D,,,Option A,,,Option D,,Option A,Option A,Option D,54.0 / 112,"(15.0 , 3.0 , 10)"
41,07-08-2021 12:20,gina_thomas5389@tonsy.org,76.0/112,Gina Thomas,gina_thomas1570@iitp.ac.in,7337213858,1401ME76,Option A,Option D,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,,,Option D,Option D,Option B,Option B,Option C,Option D,,Option D,,Option A,Option A,Option D,,Option A,,Option B,72.0 / 112,"(19.0 , 2.0 , 7)"
42,07-08-2021 12:20,dorothy_cameron8751@nimogy.biz,40.0/112,Dorothy Cameron,dorothy_cameron3069@iitp.ac.in,8305193609,1401EE20,,,,,,,Option D,,,,,Option A,,Option D,,Option D,Option C,,,Option D,,Option A,,Option D,,Option A,Option C,,40.0 / 112,"(10.0 , 0.0 , 18)"
43,07-08-2021 12:20,david_allen459@nimogy.biz,88.0/112,David Allen,david_allen3522@iitp.ac.in,9304879251,1401EE53,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,Option A,Option A,,,Option D,,,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option D,Option D,86.0 / 112,"(22.0 , 1.0 , 5)"
44,07-08-2021 12:20,alan_russell8346@atink.com,56.0/112,Alan Russell,alan_russell9407@iitp.ac.in,9548488625,1401EE18,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option B,Option C,Option D,Option B,,,Option C,Option C,,,,Option B,Option B,Option A,Option D,,Option A,Option B,Option D,42.0 / 112,"(14.0 , 7.0 , 7)"
45,07-08-2021 12:20,erica_underhill9030@nickia.com,52.0/112,Erica Underhill,erica_underhill2603@iitp.ac.in,8582011521,1401CB35,Option A,,,Option C,,,,,,,Option C,,Option D,Option D,Option B,Option D,Option C,,Option C,Option D,,,Option A,Option D,,Option A,Option C,,50.0 / 112,"(13.0 , 1.0 , 14)"
46,07-08-2021 12:20,aiden_alldridge4739@vetan.org,32.0/112,Aiden Alldridge,aiden_alldridge6161@iitp.ac.in,8890770508,1401MM04,Option C,,,Option C,,Option D,Option D,,,Option D,Option D,Option A,Option D,Option D,,Option D,Option D,,Option B,,Option B,Option B,Option A,Option C,,Option C,Option B,,12.0 / 112,"(8.0 , 10.0 , 10)"
47,07-08-2021 12:20,gabriel_henderson6057@gmail.com,80.0/112,Gabriel Henderson,gabriel_henderson5435@iitp.ac.in,7025482101,1401ME06,Option A,Option D,Option B,Option D,Option B,Option C,Option D,,Option A,Option A,Option C,Option A,,Option D,Option B,Option D,Option C,Option D,,,Option A,Option A,Option A,Option D,Option B,Option C,Option A,Option D,72.0 / 112,"(20.0 , 4.0 , 4)"
48,07-08-2021 12:20,noah_vincent1196@naiker.biz,44.0/112,Noah Vincent,noah_vincent8396@iitp.ac.in,7004074950,1401EE68,Option C,Option D,Option C,Option C,Option A,Option C,Option C,Option C,Option C,Option C,Option B,Option A,Option C,Option C,Option A,Option C,Option C,Option D,Option C,Option C,Option A,Option C,Option A,Option D,Option C,Option A,Option D,Option D,10.0 / 112,"(11.0 , 17.0 , 0)"
49,07-08-2021 12:20,josephine_graham362@gembat.biz,56.0/112,Josephine Graham,josephine_graham1732@iitp.ac.in,9660795443,1401CB19,Option A,,Option B,,,,Option D,,,,,,Option D,,,Option D,Option C,,,Option D,Option A,Option A,Option A,Option D,,Option A,Option C,Option D,56.0 / 112,"(14.0 , 0.0 , 14)"
50,07-08-2021 12:20,evelynn_howard208@famism.biz,104.0/112,Evelynn Howard,evelynn_howard9840@iitp.ac.in,9199292919,1401EE04,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,,Option A,Option D,Option D,Option B,Option C,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,102.0 / 112,"(26.0 , 1.0 , 1)"
51,07-08-2021 12:20,tania_speed770@brety.org,100.0/112,Tania Speed,tania_speed7362@iitp.ac.in,9452749717,1401MM13,Option A,Option D,Option B,Option C,Option B,,Option D,Option D,Option A,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option D,Option A,Option A,Option D,Option D,Option A,Option C,Option D,98.0 / 112,"(25.0 , 1.0 , 2)"
52,07-08-2021 12:20,brad_snow7771@supunk.biz,104.0/112,Brad Snow,brad_snow1128@iitp.ac.in,7667491533,1401CB05,Option A,Option D,Option B,Option C,Option C,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option B,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,100.0 / 112,"(26.0 , 2.0 , 0)"
53,07-08-2021 12:20,wendy_healy8906@elnee.tech,44.0/112,Wendy Healy,wendy_healy2918@iitp.ac.in,9618564987,1401CE38,Option B,Option B,Option B,Option B,,Option C,,Option C,,Option C,Option A,Option A,Option C,,Option A,Option D,Option C,Option D,,Option D,Option A,Option B,Option A,Option A,Option B,Option A,,Option D,22.0 / 112,"(11.0 , 11.0 , 6)"
54,07-08-2021 12:20,luke_murphy3941@kideod.biz,88.0/112,Luke Murphy,luke_murphy5281@iitp.ac.in,9304919227,1401CS56,Option A,,Option B,,Option B,,Option D,Option D,,,Option D,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,86.0 / 112,"(22.0 , 1.0 , 5)"
55,07-08-2021 12:20,denny_walker3214@grannar.com,60.0/112,Denny Walker,denny_walker5595@iitp.ac.in,9931968666,1401ME77,,,Option B,,,Option C,Option A,Option D,Option A,,Option C,Option C,,Option D,,Option D,Option C,,Option B,,Option A,Option A,Option C,Option D,,Option A,Option C,Option D,54.0 / 112,"(15.0 , 3.0 , 10)"
56,07-08-2021 12:20,dalia_vaughn487@sveldo.biz,28.0/112,Dalia Vaughn,dalia_vaughn1891@iitp.ac.in,8603348641,1401CE06,Option B,Option D,Option B,,,Option C,,,,Option A,,Option A,,,,,,Option D,Option A,,,,,,,Option A,,,24.0 / 112,"(7.0 , 2.0 , 19)"
57,07-08-2021 12:20,peter_brennan8189@dionrab.com,84.0/112,Peter Brennan,peter_brennan4459@iitp.ac.in,7767897301,1401CB31,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,,Option B,Option D,Option C,Option D,Option B,,Option A,Option A,Option A,Option D,Option D,Option A,Option A,Option B,80.0 / 112,"(21.0 , 2.0 , 5)"
58,07-08-2021 12:20,laila_robertson6259@nimogy.biz,84.0/112,Laila Robertson,laila_robertson3449@iitp.ac.in,8340351017,1401ME39,Option A,Option D,Option B,Option C,,Option C,Option D,,,Option A,Option B,Option A,Option D,Option D,Option B,Option C,Option C,Option D,,,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,80.0 / 112,"(21.0 , 2.0 , 5)"
59,07-08-2021 12:20,charlize_wright2930@gembat.biz,92.0/112,Charlize Wright,charlize_wright4879@iitp.ac.in,7439860023,1401CB11,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,Option A,,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,,Option A,Option C,Option B,90.0 / 112,"(23.0 , 1.0 , 4)"
60,07-08-2021 12:20,owen_thomas8377@grannar.com,60.0/112,Owen Thomas,owen_thomas6692@iitp.ac.in,8355816953,1401CE13,Option A,Option D,Option B,Option C,,Option C,,Option D,Option A,Option D,,Option A,,,,Option D,Option C,Option D,,,Option D,,,Option D,Option D,Option A,Option B,Option D,54.0 / 112,"(15.0 , 3.0 , 10)"
61,07-08-2021 12:20,mandy_hooper3172@sveldo.biz,96.0/112,Mandy Hooper,mandy_hooper9871@iitp.ac.in,8229859377,1401EE10,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,,Option D,Option A,Option A,Option D,Option D,Option A,Option C,Option D,94.0 / 112,"(24.0 , 1.0 , 3)"
62,07-08-2021 12:20,ethan_robinson3826@deons.tech,44.0/112,Ethan Robinson,ethan_robinson9228@iitp.ac.in,7717789572,1401MM03,Option C,,Option B,Option C,,,Option D,,Option A,,Option C,Option C,Option D,Option D,,,,Option D,Option A,Option D,,,Option A,,,Option A,Option B,Option B,34.0 / 112,"(11.0 , 5.0 , 12)"
63,07-08-2021 12:20,alice_harrison8669@gembat.biz,100.0/112,Alice Harrison,alice_harrison8561@iitp.ac.in,8961011837,1401CS10,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option B,Option A,Option C,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option B,Option A,Option C,Option D,94.0 / 112,"(25.0 , 3.0 , 0)"
64,07-08-2021 12:20,summer_stone8951@deavo.com,56.0/112,Summer Stone,summer_stone7886@iitp.ac.in,7007222154,1401ME32,Option A,,Option B,,,Option C,,Option D,Option A,Option A,Option C,Option A,,,,,,Option D,,Option D,Option D,,Option A,Option A,Option D,Option C,Option C,Option D,50.0 / 112,"(14.0 , 3.0 , 11)"
65,07-08-2021 12:20,gladys_mcgee5071@sheye.org,76.0/112,Gladys Mcgee,gladys_mcgee9902@iitp.ac.in,7883584826,1401ME27,Option A,,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,,,Option D,Option D,Option B,Option B,Option C,Option D,,Option D,,,Option A,Option D,,Option A,Option C,Option D,74.0 / 112,"(19.0 , 1.0 , 8)"
66,07-08-2021 12:20,jayden_thorpe5896@acrit.org,56.0/112,Jayden Thorpe,jayden_thorpe2289@iitp.ac.in,9113363896,1401EE74,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,Option A,,Option D,,Option D,Option B,Option C,Option C,Option D,,,Option D,Option B,Option A,Option B,Option B,Option B,Option B,Option D,40.0 / 112,"(14.0 , 8.0 , 6)"
67,07-08-2021 12:20,aeris_waterson1260@gompie.com,104.0/112,Aeris Waterson,aeris_waterson1422@iitp.ac.in,9003568771,1401EE54,Option A,Option D,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option A,Option D,102.0 / 112,"(26.0 , 1.0 , 1)"
68,07-08-2021 12:20,abdul_cobb3387@typill.biz,112.0/112,Abdul Cobb,abdul_cobb5582@iitp.ac.in,7080004448,1401CS02,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,112.0 / 112,"(28.0 , 0.0 , 0)"
69,07-08-2021 12:20,roger_woods4015@tonsy.org,100.0/112,Roger Woods,roger_woods566@iitp.ac.in,9820521752,1401MM29,Option A,,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,,Option A,Option C,Option D,100.0 / 112,"(25.0 , 0.0 , 3)"
70,07-08-2021 12:20,willow_rose3055@bungar.biz,52.0/112,Willow Rose,willow_rose6847@iitp.ac.in,6266206287,1401CB08,Option A,Option B,Option B,Option B,Option B,Option B,Option D,Option B,Option B,Option B,Option B,Option A,Option B,Option B,Option B,Option D,Option C,Option D,Option B,Option B,Option B,Option B,Option B,Option D,Option B,Option B,Option C,Option D,22.0 / 112,"(13.0 , 15.0 , 0)"
